MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres
E02006245,"Whitton",0,209.0,1301.34,5.634,1,0.00
E02006246,"Castle Hill",0,209.0,253.57,4.343,0,0.00
E02006247,"Whitehouse",0,290.0,2810.49,5.778,2,7618.34
E02006248,"Rushmere",0,176.0,1145.79,18.044,0,0.00
E02006249,"Christchurch Park",0,385.0,266.46,18.173,0,0.00
E02006250,"Westgate",0,209.0,1705.42,8.089,1,0.00
E02006251,"Ipswich Central",0,1416.0,4655.43,94.270,2,0.00
E02006252,"California",0,474.0,611.97,16.561,0,0.00
E02006253,"Broke Hall",0,369.0,2801.41,15.418,2,0.00
E02006254,"Gipping & Chantry Park",0,287.0,4806.41,11.881,2,0.00
E02006255,"Holywells",0,193.0,1646.35,13.825,0,0.00
E02006256,"Maidenhall",0,287.0,1856.61,10.981,0,0.00
E02006257,"Belstead Hills",0,78.0,125.75,6.312,0,0.00
E02006258,"Priory Heath",0,325.0,4554.18,18.625,5,0.00
E02006259,"Stoke Park",0,78.0,569.21,6.097,0,0.00
E02006260,"Gainsborough",0,193.0,266.18,12.561,0,0.00
